"id","condition","confidence","feedback","score_meaning","label_expectation","familiar_trust_levels","familiar_nutriscore","grade_basis","label_present","understood_label","visual_design","decision_support","info_usefulness","image_trust","evaluate_trustworthiness","more_labels","attention_check"
1,"color","Somewhat Confident","","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is;How trustworthy the article is","Whether AI was used in the image creation process;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is","Yes","Yes","How transparently the article shows its sources, author, and any edits","TRUE","5","7","6","7","7","5","6","3"
2,"no_color","Somewhat Confident","","How much verified information about the creation and edits of the picture is available;How trustworthy the article is","How trustworthy the image is;The copyright holder or owner of the image;The publisher","No","Yes","The accuracy of the information in the article","TRUE","3","4","3","4","4","4","3","3"
3,"c2pa","Somewhat Confident","none","How trustworthy the article is","Any changes that have been made to the original image","No","No","","FALSE","5","3","2","2","3","3","3","3"
4,"nolabel","Neutral","",NA,NA,"Yes","No",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
5,"no_color","Somewhat Confident","","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake","Whether AI was used in the image creation process;Any changes that have been made to the original image;How trustworthy the image is","Yes","Yes","How transparently the article shows its sources, author, and any edits","TRUE","5","6","7","5","7","7","7","3"
6,"c2pa","Somewhat Confident","","Not sure","The publisher","No","No","","TRUE","1","1","1","1","1","1","4","3"
7,"nolabel","Somewhat Unconfident","",NA,NA,"No","No",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
8,"color","Somewhat Confident","Very interesting study.","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is;How trustworthy the article is","When the image was taken","No","Yes","The accuracy of the information in the article","TRUE","6","6","6","6","6","6","6","3"
9,"no_color","Neutral","","Not sure","Whether AI was used in the image creation process;How trustworthy the image is","Yes","Yes","Not sure","TRUE","1","2","2","2","4","3","7","3"
10,"c2pa","Somewhat Confident","","How much verified information about the creation and edits of the picture is available;How trustworthy the image is;How trustworthy the article is","Whether AI was used in the image creation process;Where the image was taken;The copyright holder or owner of the image","Yes","Yes","","FALSE","2","4","3","5","3","3","5","3"
11,"nolabel","Somewhat Confident","",NA,NA,"Yes","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
12,"color","Neutral","","How trustworthy the image is;How trustworthy the article is","Whether AI was used in the image creation process;Where the image was taken;How trustworthy the image is;The publisher","No","No","The accuracy of the information in the article","TRUE","2","2","2","1","1","1","4","3"
13,"no_color","Somewhat Confident","","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is;How trustworthy the article is","Whether AI was used in the image creation process;Any changes that have been made to the original image;How trustworthy the image is","No","No","The accuracy of the information in the article","FALSE","5","4","5","5","5","5","6","3"
14,"c2pa","Somewhat Confident","This was interesting to go through and consider! Thanks very much and I hope my submission is helpful to your research ","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image","Yes","Yes","","FALSE","5","5","6","6","6","6","7","3"
15,"nolabel","Neutral","No",NA,NA,"Not sure","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
16,"no_color","Somewhat Unconfident","na","How much of the picture is real/fake","Whether AI was used in the image creation process","No","No","How transparently the article shows its sources, author, and any edits","FALSE","3","4","2","2","4","2","4","3"
17,"c2pa","Neutral","NA","How much verified information about the creation and edits of the picture is available","The copyright holder or owner of the image;The publisher","Not sure","No","","FALSE","4","3","4","5","4","5","5","3"
18,"nolabel","Neutral","",NA,NA,"Not sure","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
19,"color","Somewhat Unconfident","","How trustworthy the image is","Any changes that have been made to the original image;How trustworthy the image is","No","Yes","How clearly information about the image is provided","FALSE","2","3","2","2","2","2","2","3"
20,"no_color","Somewhat Confident","","How trustworthy the image is","Whether AI was used in the image creation process;Any changes that have been made to the original image","No","Yes","How clearly information about the image is provided","TRUE","5","5","7","6","5","6","7","3"
21,"c2pa","Very Unconfident","I don't trust most news articles these days. I will always try to look for different sources of the same information to determine what might be the truth, but it's getting harder and harder to know what to believe. ","Not sure","Not sure","Not sure","Yes","","FALSE","2","3","1","2","1","1","4","3"
22,"nolabel","Neutral","",NA,NA,"No","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
23,"color","Somewhat Confident","","How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image;The publisher","Not sure","Yes","How clearly information about the image is provided","TRUE","6","5","1","5","1","3","4","3"
24,"no_color","Somewhat Confident","","How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;How trustworthy the image is","No","Yes","How transparently the article shows its sources, author, and any edits","FALSE","3","6","7","7","7","7","7","3"
25,"c2pa","Neutral","none","How much verified information about the creation and edits of the picture is available;How trustworthy the article is","Where the image was taken;How trustworthy the image is;The publisher","No","Yes","","FALSE","6","5","5","6","5","6","5","3"
26,"nolabel","Very Confident","None",NA,NA,"No","Not sure",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
27,"color","Somewhat Confident","","How much of the picture is real/fake;How trustworthy the image is","Whether AI was used in the image creation process;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image","No","Yes","How clearly information about the image is provided","TRUE","6","7","6","7","7","7","7","3"
28,"no_color","Neutral","","How trustworthy the article is","Not sure","No","Not sure","The accuracy of the information in the article","FALSE","1","3","2","2","2","1","6","3"
29,"c2pa","Neutral","","Not sure","The publisher","No","Yes","","TRUE","2","5","1","4","2","3","5","3"
30,"nolabel","Somewhat Unconfident","no",NA,NA,"No","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
