"id","round_number","participant_id","theme_selection","article","mid_questionnaire","timestamp"
55,1,1,"{""selected_article_id"": 35, ""selected_article_title"": ""Israeli airstrikes hit multiple Iran nuclear sites. Here's what we know about them."", ""selected_article_category"": ""technology"", ""condition"": ""color""}","{""selected_article_id"": 49, ""selected_article_title"": ""Texas startup sells plastic-eating fungi diapers to tackle landfill waste"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""6"", ""trust_image"": ""7""}","2025-06-24 12:21:41.863322"
56,1,2,"{""selected_article_id"": 7, ""selected_article_title"": ""Taking on Israel's greatest foe has banished Netanyahu's political troubles in an instant"", ""selected_article_category"": ""politics"", ""condition"": ""no_color""}","{""selected_article_id"": 10, ""selected_article_title"": ""Once known for civility, Minnesota succumbs to spread of political violence"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""6"", ""trust_image"": ""7""}","2025-06-24 12:25:22.808127"
57,2,1,NA,"{""selected_article_id"": 45, ""selected_article_title"": ""Swedish military joins Telia, Ericsson to boost defense tech"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""7"", ""trust_image"": ""7""}","2025-06-24 12:22:17.076260"
58,1,4,"{""selected_article_id"": 15, ""selected_article_title"": ""Democratic leaders accuse Trump of legitimizing political violence that led to Minnesota shootings"", ""selected_article_category"": ""politics"", ""condition"": ""nolabel""}","{""selected_article_id"": 3, ""selected_article_title"": ""Massachusetts lawmakers condemn political shootings in Minnesota as \""horrific\"""", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Topic""], ""trust_article"": ""4"", ""trust_image"": ""4""}","2025-06-24 12:31:41.339215"
59,1,3,"{""selected_article_id"": 44, ""selected_article_title"": ""Amazon to invest $233 million in India to expand operations infrastructure, improve tech"", ""selected_article_category"": ""technology"", ""condition"": ""c2pa""}","{""selected_article_id"": 49, ""selected_article_title"": ""Texas startup sells plastic-eating fungi diapers to tackle landfill waste"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Topic""], ""trust_article"": ""7"", ""trust_image"": ""7""}","2025-06-24 12:24:16.593012"
60,1,5,"{""selected_article_id"": 65, ""selected_article_title"": ""A Messy Business Divorce Plays Out on the Beaches of Cannes"", ""selected_article_category"": ""entertainment"", ""condition"": ""no_color""}","{""selected_article_id"": 56, ""selected_article_title"": ""Beating back boredom this summer for both parents and kids"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Image label""], ""trust_article"": ""7"", ""trust_image"": ""6""}","2025-06-24 12:24:04.266954"
61,1,6,"{""selected_article_id"": 54, ""selected_article_title"": ""Fox News Entertainment Newsletter: Brad Pitt talks mistakes, Billy Idol nearly died from drug overdose"", ""selected_article_category"": ""entertainment"", ""condition"": ""c2pa""}","{""selected_article_id"": 53, ""selected_article_title"": ""Fox News Entertainment Newsletter: Henry Winkler's kind move, 'Little House on the Prairie' alum's confession"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Picture""], ""trust_article"": ""1"", ""trust_image"": ""1""}","2025-06-24 12:23:44.708348"
62,3,1,NA,"{""selected_article_id"": 41, ""selected_article_title"": ""Honda conducts surprise reusable rocket test, aims spaceflight by 2029"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Picture"", ""Headline"", ""Topic""], ""trust_article"": ""6"", ""trust_image"": ""7""}","2025-06-24 12:23:14.083348"
64,1,8,"{""selected_article_id"": 15, ""selected_article_title"": ""Democratic leaders accuse Trump of legitimizing political violence that led to Minnesota shootings"", ""selected_article_category"": ""politics"", ""condition"": ""color""}","{""selected_article_id"": 3, ""selected_article_title"": ""Massachusetts lawmakers condemn political shootings in Minnesota as \""horrific\"""", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Picture"", ""Headline""], ""trust_article"": ""5"", ""trust_image"": ""5""}","2025-06-24 12:25:58.958848"
65,2,6,NA,"{""selected_article_id"": 60, ""selected_article_title"": ""Book excerpt: \""Desi Arnaz: The Man Who Invented Television\"""", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""1"", ""trust_image"": ""1""}","2025-06-24 12:24:07.696899"
66,3,6,NA,"{""selected_article_id"": 67, ""selected_article_title"": ""Live Nation case at US Supreme Court tests reach of arbitration law"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""1"", ""trust_image"": ""1""}","2025-06-24 12:24:30.130783"
67,2,5,NA,"{""selected_article_id"": 68, ""selected_article_title"": ""Aventura Mall voted \""Best Mall in America,\"" USA TODAY poll"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Image label"", ""Topic""], ""trust_article"": ""6"", ""trust_image"": ""7""}","2025-06-24 12:25:02.864548"
